id,name,code,census_code,block_id,district_id
445404,Similiya,451423,451423,3889,431
445343,Arrod,451361,451361,3889,431
445344,Imalia,451362,451362,3889,431
445345,Jhar Baroda,451363,451363,3889,431
445346,Ransinghpura,451364,451364,3889,431
445347,Kishanpura,451365,451365,3889,431
445348,Hullpur,451366,451366,3889,431
445349,Barkheda,451367,451367,3889,431
445350,Lahosghani,451368,451368,3889,431
445351,Khitarpal,451369,451369,3889,431
445352,Ladpura,451370,451370,3889,431
445353,Bhainsai,451371,451371,3889,431
445354,Garhi,451372,451372,3889,431
445355,Upcha,451373,451373,3889,431
445356,Madha,451374,451374,3889,431
445357,Ahiri,451375,451375,3889,431
445358,Itawai,451376,451376,3889,431
445359,Ranawad,451377,451377,3889,431
445360,Gohara,451378,451378,3889,431
445361,Bharkhoh,451379,451379,3889,431
445362,Andhupura,451380,451380,3889,431
445363,Sunwai,451381,451381,3889,431
445364,Bagrod,451382,451382,3889,431
445365,Dongarpur (Vijaypur),451383,451383,3889,431
445366,Dord,451384,451384,3889,431
445367,Bardula,451385,451385,3889,431
445368,Arusta,451386,451386,3889,431
445369,Gurja,451387,451387,3889,431
445370,Bichpuri,451388,451388,3889,431
445371,Mewra,451389,451389,3889,431
445372,Bara Kalan,451390,451390,3889,431
445373,Pachnaya,451391,451391,3889,431
445374,Gota,451392,451392,3889,431
445375,Laxmanpura Bijepur,451393,451393,3889,431
445376,Khurdwara,451394,451394,3889,431
445377,Daudpur,451395,451395,3889,431
445378,Gopalpura,451396,451396,3889,431
445379,Jaipura,451397,451397,3889,431
445380,Medawali,451398,451398,3889,431
445381,Chandeli,451399,451399,3889,431
445382,Parwati Baroda,451400,451400,3889,431
445383,Aroda,451401,451401,3889,431
445384,Benipura,451402,451402,3889,431
445385,Chhapar,451403,451403,3889,431
445386,Dhamini,451404,451404,3889,431
445387,Piparwas,451405,451405,3889,431
445388,Shahpur Khurd,451406,451406,3889,431
445389,Chentikheda,451407,451407,3889,431
445390,Agara,451408,451408,3889,431
445391,Ghorade,451410,451410,3889,431
445392,Dehari,451411,451411,3889,431
445393,Umari Kalan,451412,451412,3889,431
445394,Dodai Kalan,451413,451413,3889,431
445395,Bamanwas,451414,451414,3889,431
445396,Dodai Khurd,451415,451415,3889,431
445397,Khadera,451416,451416,3889,431
445398,Khadi No.1,451417,451417,3889,431
445399,Nad,451418,451418,3889,431
445400,Dhamani,451419,451419,3889,431
445401,Surdeh,451420,451420,3889,431
445402,Dhourera,451421,451421,3889,431
445403,Magardeh,451422,451422,3889,431
445537,Biloni,451559,451559,3888,431
445538,Khojipura,451560,451560,3888,431
445539,Padampura,451561,451561,3888,431
445540,Dhodar,451562,451562,3888,431
445541,Bagdari,451563,451563,3888,431
445542,Makrod,451564,451564,3888,431
445543,Bagdiya,451565,451565,3888,431
445544,Hansalpur,451566,451566,3888,431
445545,Kashipur,451567,451567,3888,431
445546,Dhiroli,451568,451568,3888,431
445547,Kyarpura,451569,451569,3888,431
445548,Semalda,451570,451570,3888,431
445549,Phoolda,451571,451571,3888,431
445550,Nasirpur,451572,451572,3888,431
445551,Gudhata(Manpur),451573,451573,3888,431
445552,Saroda,451574,451574,3888,431
445553,Bahrawada,451575,451575,3888,431
445554,Sewapur,451576,451576,3888,431
445555,Sirsod,451577,451577,3888,431
445556,Tongni,451578,451578,3888,431
445557,Jawasa,451579,451579,3888,431
445558,Awani,451580,451580,3888,431
445559,Jaini,451581,451581,3888,431
445560,Samarsa,451582,451582,3888,431
445561,Unchakheda,451583,451583,3888,431
445562,Bichpuri,451584,451584,3888,431
445563,Talawna,451585,451585,3888,431
445564,Dantarda Kalan,451586,451586,3888,431
445565,Sada Ka Pada,451587,451587,3888,431
445566,Tekna,451589,451589,3888,431
445567,Takna Chak,451590,451590,3888,431
445568,Fatehpur T.Manpur,451591,451591,3888,431
445569,Manpur,451592,451592,3888,431
445570,Mewada,451593,451593,3888,431
445571,Gothra,451594,451594,3888,431
445572,Ladpura,451596,451596,3888,431
445573,Kokad,451597,451597,3888,431
445574,Tehla,451599,451599,3888,431
445575,Jamoordi,451600,451600,3888,431
445576,Shankarpur,451601,451601,3888,431
445577,Chakbamoolya,451602,451602,3888,431
445578,Sohi Khurd,451603,451603,3888,431
445579,Daduni,451604,451604,3888,431
445580,Rajpura,451605,451605,3888,431
445581,Bheekhapur,451606,451606,3888,431
445582,Jwalapur,451607,451607,3888,431
445583,Nandapur,451608,451608,3888,431
445584,Harpura,451609,451609,3888,431
445585,Soi Kalan,451610,451610,3888,431
445586,Kotra,451611,451611,3888,431
445587,Gurnawda,451612,451612,3888,431
445588,Chopna,451613,451613,3888,431
445589,Jawdeshwar,451614,451614,3888,431
445590,Kacharmooli,451615,451615,3888,431
445591,Bagadua,451616,451616,3888,431
445592,Kanwarpura,451617,451617,3888,431
445593,Mohammadpur,451618,451618,3888,431
445594,Badoda Ram,451619,451619,3888,431
445595,Seeswali,451620,451620,3888,431
445596,Lechoda,451621,451621,3888,431
445597,Banwada,451622,451622,3888,431
445598,Kaririya,451623,451623,3888,431
445599,Dalarna Kalan,451624,451624,3888,431
445600,Behted,451625,451625,3888,431
445601,Ichhana Khedi,451626,451626,3888,431
445602,Adoosa,451627,451627,3888,431
445603,Mudalapada,451628,451628,3888,431
445604,Malarna,451629,451629,3888,431
445605,Bitthalpur,451630,451630,3888,431
445606,Cheeta Khedi,451631,451631,3888,431
445607,Makhana Khedi,451632,451632,3888,431
445608,Chak Juwad,451633,451633,3888,431
445609,Juwad,451634,451634,3888,431
445610,Pahadlya,451635,451635,3888,431
445611,Fatahpur,451636,451636,3888,431
445612,Southwa,451637,451637,3888,431
445613,Nagargawoda,451638,451638,3888,431
445614,Rannod,451639,451639,3888,431
445615,Charond,451640,451640,3888,431
445616,Jalera,451641,451641,3888,431
445617,Padsalya,451642,451642,3888,431
445618,Goheda,451643,451643,3888,431
445619,Chakpadalya,451644,451644,3888,431
445620,Bamooli Gusai,451645,451645,3888,431
445621,Kanwar Sali,451646,451646,3888,431
445622,Nagdi,451647,451647,3888,431
445623,Hansapura,451648,451648,3888,431
445624,Kilgaodi,451649,451649,3888,431
445625,Tillipur,451650,451650,3888,431
445626,Matasoola,451651,451651,3888,431
445627,Gopalpura,451652,451652,3888,431
445628,Rajalai,451653,451653,3888,431
445629,Roopnagar,451654,451654,3888,431
445630,Jat Kheda,451656,451656,3888,431
445631,Raipura,451657,451657,3888,431
445632,Dalarna Khurd,451658,451658,3888,431
445633,Datarda Khurd,451659,451659,3888,431
445634,Mukandpura,451660,451660,3888,431
445635,Bardha Bujurg,451661,451661,3888,431
445636,Salapura (Part),451662,451662,3887,431
445637,Kalarna,451663,451663,3887,431
445638,Dhengda,451664,451664,3887,431
445639,Bagbaj,451665,451665,3887,431
445640,Abhaypura,451666,451666,3887,431
445641,Birampura,451667,451667,3887,431
445642,Rampura Dang,451668,451668,3887,431
445643,Nayagaon Gujaran,451669,451669,3887,431
445644,Semalda Haveli,451670,451670,3887,431
445645,Bawnda Kalitalai,451671,451671,3887,431
445646,Mayapur,451672,451672,3887,431
445647,Fatehpur,451673,451673,3887,431
445648,Shahpura,451674,451674,3887,431
445649,Malpura,451675,451675,3888,431
445650,Chodpur,451676,451676,3888,431
445651,Prempura Habeli,451677,451677,3888,431
445652,Mau,451678,451678,3888,431
445653,Hasanpur Habeli,451679,451679,3888,431
445654,Jaida,451680,451680,3888,431
445655,Mithepura,451681,451681,3888,431
445656,Guwadi,451682,451682,3888,431
445657,Nagda,451683,451683,3888,431
445658,Ichchhapura,451684,451684,3888,431
445659,Asida,451686,451686,3888,431
445660,Bagwada,451687,451687,3888,431
445661,Tarra Mafi,451688,451688,3888,431
445662,Dhoti,451689,451689,3888,431
445663,Khirni,451690,451690,3888,431
445664,Bilwada,451691,451691,3888,431
445665,Pithana Khedli,451692,451692,3888,431
445666,Soondi,451693,451693,3888,431
445667,Dawarsa,451694,451694,3888,431
445668,Adwad,451695,451695,3888,431
445669,Jalalpura,451696,451696,3888,431
445670,Panadi,451697,451697,3888,431
445671,Gaondi,451698,451698,3888,431
445672,Nimodapeer,451699,451699,3888,431
445673,Amalda,451700,451700,3888,431
445674,Premsar,451701,451701,3888,431
445675,Godha,451702,451702,3888,431
445676,Patpada,451703,451703,3888,431
445677,Nanawad,451704,451704,3888,431
445678,Mawda,451705,451705,3888,431
445679,Gurunawada Utanwad,451706,451706,3888,431
445680,Dubdi Utanwad,451707,451707,3888,431
445681,Bada Kheda,451708,451708,3888,431
445682,Chhota Kheda,451709,451709,3888,431
445683,Sankurali,451710,451710,3888,431
445684,Napa Khedli,451711,451711,3888,431
445685,Bijarpur,451712,451712,3888,431
445686,Pachipura,451713,451713,3888,431
445687,Rigni,451714,451714,3888,431
445688,Kilorach,451715,451715,3888,431
445689,Kanapur,451716,451716,3888,431
445690,Daulatpura,451717,451717,3888,431
445691,Pipaldi,451718,451718,3888,431
445692,Kishorpura,451719,451719,3888,431
445693,Kund Habeli,451720,451720,3888,431
445694,Ramgawdi,451721,451721,3888,431
445695,Kathodi,451722,451722,3888,431
445696,Ajapura,451723,451723,3888,431
445697,Bamorihala,451724,451724,3888,431
445698,Gonda Khedi,451725,451725,3888,431
445699,Madhorajpura,451726,451726,3888,431
445700,Janpura,451727,451727,3888,431
445701,Halgaoda Bujurg,451728,451728,3888,431
445702,Tulsef,451729,451729,3888,431
445703,Dukalya Kheda,451730,451730,3888,431
445704,Utanbad,451732,451732,3888,431
445705,Bandi Kheda,451733,451733,3888,431
445706,Lond,451734,451734,3888,431
445707,Chandrapura,451735,451735,3888,431
445708,Filojpura,451736,451736,3888,431
445709,Ladpura (Ratodan),451737,451737,3888,431
445710,Talawda,451738,451738,3888,431
445711,Dhondpur,451739,451739,3888,431
445712,Lat,451740,451740,3888,431
445713,Nayagoan(Dhopur),451741,451741,3888,431
445714,Radep,451742,451742,3888,431
445715,Mekhda Hedi,451743,451743,3888,431
445716,Sarsali,451744,451744,3888,431
445717,Khedli,451745,451745,3888,431
445718,Khanpura,451746,451746,3888,431
445719,Sahpura,451747,451747,3888,431
445720,Karnya Khedli,451748,451748,3888,431
445721,Mundla,451749,451749,3888,431
445722,Bilendi,451750,451750,3888,431
445723,Pandola,451751,451751,3888,431
445724,Bhasurdar,451752,451752,3888,431
445725,Bamori Jat,451753,451753,3888,431
445726,Kishanpura,451754,451754,3888,431
445727,Hirni Kheda,451755,451755,3888,431
445728,Narayanpura,451756,451756,3888,431
445729,Shri Ji Ki Ganwadi,451757,451757,3888,431
445730,Pandoli,451758,451758,3888,431
445731,Galmanya,451759,451759,3888,431
445732,Luhad,451760,451760,3888,431
445733,Luhadi Kheda,451761,451761,3888,431
445734,Dheekariya,451762,451762,3888,431
445735,Alapura,451763,451763,3888,431
445736,Rajaura,451764,451764,3888,431
445737,Panwada,451765,451765,3888,431
445738,Bajarli,451766,451766,3888,431
445739,Pahadli,451767,451767,3888,431
445740,Balapura,451768,451768,3888,431
445741,Bahdawad,451769,451769,3888,431
445742,Bida Khedli,451770,451770,3888,431
445743,Basond,451771,451771,3888,431
445744,Rajpura Jhunjhunipura,451772,451772,3888,431
445745,Kuhanjapur,451773,451773,3888,431
445746,Kalu Khedli,451774,451774,3888,431
445747,Badodiya Ghat,451775,451775,3888,431
445748,Bich Gawdi,451776,451776,3888,431
445749,Dhanod,451777,451777,3888,431
445750,Bawadi Bichchhu,451778,451778,3888,431
445751,Lalitpura,451779,451779,3888,431
445752,Adotpura Alis_E Rajpu,451780,451780,3888,431
445753,Sarangpur,451781,451781,3888,431
445754,Dharampura,451782,451782,3888,431
445755,Kudaytha,451783,451783,3888,431
445756,Barkhera,451784,451784,3888,431
445757,Thikariya,451785,451785,3888,431
445758,Pali,451786,451786,3888,431
445759,Badodiya Bindi,451787,451787,3888,431
445760,Borda Dev,451788,451788,3888,431
445761,Indarpura,451789,451789,3888,431
445762,Udaytha,451790,451790,3888,431
445763,Hathwadi,451791,451791,3888,431
445764,Prempura,451792,451792,3888,431
445765,Pipalda,451793,451793,3888,431
445766,Kaloney,451794,451794,3888,431
445767,Bhilwadia,451795,451795,3888,431
445768,Maharajpura,451796,451796,3888,431
445769,Shripura,451797,451797,3888,431
445770,Makraoda Khurd,451798,451798,3888,431
445771,Makraoda Kalan,451799,451799,3888,431
445772,Sirsod,451800,451800,3888,431
445773,Ratodan,451801,451801,3888,431
445774,Bandi,451802,451802,3888,431
445775,Halgaoda Khurd,451803,451803,3888,431
445776,Nayagaon Tehkhand,451804,451804,3888,431
445777,Med Khedi,451805,451805,3888,431
445778,Patna,451806,451806,3888,431
445779,Bagalda,451807,451807,3888,431
445780,Karwadya,451808,451808,3888,431
445781,Jaisinghpura,451809,451809,3888,431
445782,Prempura,451810,451810,3888,431
445783,Hanuman Kheda,451811,451811,3888,431
445784,Badodiya Jinsi,451812,451812,3888,431
445785,Radhapura,451813,451813,3888,431
445786,Kalmunda,451814,451814,3888,431
445787,Handi,451815,451815,3888,431
445788,Salmanya,451816,451816,3887,431
445789,Baodee Chapa,451817,451817,3887,431
445790,Nayagaon Lakha,451818,451818,3887,431
445791,Rijha,451819,451819,3887,431
445792,Subkara,451820,451820,3887,431
445793,Pyaripura,451821,451821,3887,431
445794,Latawni,451822,451822,3887,431
445795,Shyampura,451823,451823,3887,431
445796,Moojhri,451824,451824,3887,431
445797,Kherona,451825,451825,3887,431
445798,Jakhda Jagir,451826,451826,3887,431
445799,Heerapur,451827,451827,3887,431
445800,Girdharpur,451828,451828,3887,431
445801,Jharer,451829,451829,3887,431
445802,Patalgarh,451830,451830,3887,431
445803,Kalitalai,451831,451831,3887,431
445804,Gadhla,451832,451832,3887,431
445805,Budhera,451833,451833,3887,431
445806,Dobh,451834,451834,3887,431
445807,Simroniya,451835,451835,3887,431
445808,Doondi Kheda,451836,451836,3887,431
445809,Kankra,451837,451837,3887,431
445810,Dubdee,451838,451838,3887,431
445811,Saran Aharwani,451839,451839,3887,431
445812,Madanpur,451840,451840,3887,431
445813,Agra,451841,451841,3887,431
445814,Bamoree,451842,451842,3887,431
445815,Hasanpur,451843,451843,3887,431
445816,Palampur,451844,451844,3887,431
445817,Bargawan,451845,451845,3887,431
445818,Pahadee,451846,451846,3887,431
445819,Chitara,451847,451847,3887,431
445820,Jakhda,451848,451848,3887,431
445821,Karrai,451849,451849,3887,431
445822,Piprani,451850,451850,3887,431
445823,Kadwal,451851,451851,3887,431
445824,Gothra,451852,451852,3887,431
445825,Jakhda Dogry,451853,451853,3887,431
445826,Sarari Kalan,451854,451854,3887,431
445827,Sarari Khurd,451855,451855,3887,431
445828,Bhela,451856,451856,3887,431
445829,Kalmee Kakarda,451857,451857,3887,431
445830,Ajoney,451858,451858,3887,431
445831,Dablee,451859,451859,3887,431
445832,Bandhaly,451860,451860,3887,431
445833,Kelor,451861,451861,3887,431
445834,Neemodamath,451862,451862,3887,431
445835,Awada,451863,451863,3887,431
445836,Malipura,451864,451864,3887,431
445837,Sarjpura,451865,451865,3887,431
445838,Goras,451866,451866,3887,431
445839,Reechee,451867,451867,3887,431
445840,Panar,451868,451868,3887,431
445841,Bhotoopura,451869,451869,3887,431
445842,Govarda Khurd,451870,451870,3887,431
445843,Basai,451871,451871,3887,431
445844,Karahal,451872,451872,3887,431
445845,Silpuri,451873,451873,3887,431
445846,Panwada,451874,451874,3887,431
445847,Govarda Kalan,451875,451875,3887,431
445848,Bahrai,451876,451876,3887,431
445849,Paratwada,451877,451877,3887,431
445850,Amet,451878,451878,3887,431
445851,Amethi,451879,451879,3887,431
445852,Chandpur,451880,451880,3887,431
445853,Sethpur,451881,451881,3887,431
445854,Lahroney,451882,451882,3887,431
445855,Badrenta,451883,451883,3887,431
445856,Rahron (Partwada),451884,451884,3887,431
445857,Moravan,451885,451885,3887,431
445858,Karkho (Tiktoli),451886,451886,3887,431
445859,Jakhda,451887,451887,3887,431
445860,Patari,451888,451888,3887,431
445861,Hetedi,451889,451889,3887,431
445862,Based,451890,451890,3887,431
445863,Nabalpura,451891,451891,3887,431
445864,Silori,451892,451892,3887,431
445865,Kurachor Kalan,451893,451893,3887,431
445866,Kurachor Khurd,451894,451894,3887,431
445867,Domari (Karhal),451895,451895,3887,431
445868,Tighara,451896,451896,3887,431
445869,Sesaipura,451897,451897,3887,431
445870,Adhwada,451898,451898,3887,431
445871,Ajnoi,451899,451899,3887,431
445872,Chak Kishanpur,451900,451900,3887,431
445873,Jamurdi Karhal,451901,451901,3887,431
445874,Nonpura,451902,451902,3887,431
445875,Kateela,451903,451903,3887,431
445876,Kapeela,451904,451904,3887,431
445877,Ranipura,451905,451905,3887,431
445878,Maharbani,451906,451906,3887,431
445879,Digwar,451907,451907,3887,431
445880,Khohree,451908,451908,3887,431
445881,Nimaniya,451909,451909,3887,431
445882,Semra,451910,451910,3887,431
445883,Bankuri,451911,451911,3887,431
445884,Bawdi Kho,451912,451912,3887,431
445885,Morai,451913,451913,3887,431
445886,Khirkhiri,451914,451914,3887,431
